student_profile_id,human_wcpm_partial,human_wcpm_perfect,ai_wcpm_partial,ai_wcpm_perfect,human_total_words,ai_total_words,human_words_correct_partial,human_words_correct_perfect,ai_words_correct_partial,ai_words_correct_perfect,total_duration_seconds,total_duration_minutes,num_submissions,wcpm_diff_partial,wcpm_diff_perfect
28399,277.77777777777777,277.77777777777777,236.1111111111111,222.2222222222222,22,17,20,20,17,16,4.32,0.07200000000000001,3,41.666666666666686,55.55555555555557
28512,240.0,240.0,240.0,240.0,7,7,7,7,7,7,1.75,0.029166666666666667,1,0.0,0.0
28388,181.4516129032258,169.3548387096774,133.06451612903226,133.06451612903226,15,11,15,14,11,11,4.96,0.08266666666666667,1,48.38709677419354,36.29032258064515
28390,171.42857142857142,171.42857142857142,171.42857142857142,171.42857142857142,7,7,7,7,7,7,2.45,0.04083333333333334,1,0.0,0.0
28450,167.51269035532997,167.51269035532997,137.05583756345177,137.05583756345177,22,18,22,22,18,18,7.88,0.13133333333333333,2,30.45685279187819,30.45685279187819
28468,140.0,140.0,120.0,113.33333333333334,22,18,21,21,18,17,9.0,0.15,2,20.0,26.666666666666657
28398,138.29787234042553,138.29787234042553,148.93617021276594,138.29787234042553,22,14,13,13,14,13,5.64,0.094,2,-10.638297872340416,0.0
30822,137.82542113323123,137.82542113323123,101.07197549770291,91.88361408882082,15,11,15,15,11,10,6.53,0.10883333333333334,1,36.75344563552832,45.94180704441041
28362,130.84112149532712,130.84112149532712,130.84112149532712,74.76635514018692,7,7,7,7,7,4,3.21,0.0535,1,0.0,56.0747663551402
28402,127.98634812286691,107.50853242320821,92.15017064846418,51.194539249146764,28,20,25,21,18,10,11.719999999999999,0.1953333333333333,3,35.83617747440273,56.313993174061444
28456,127.65957446808511,127.65957446808511,127.65957446808511,106.38297872340425,6,6,6,6,6,5,2.82,0.047,1,0.0,21.27659574468086
28391,126.31578947368422,126.31578947368422,126.31578947368422,126.31578947368422,12,10,10,10,10,10,4.75,0.07916666666666666,2,0.0,0.0
31205,125.80645161290325,125.80645161290325,116.12903225806453,87.0967741935484,13,13,13,13,12,9,6.199999999999999,0.10333333333333332,2,9.677419354838719,38.70967741935485
28364,123.28767123287672,123.28767123287672,90.41095890410959,73.97260273972603,15,11,15,15,11,9,7.3,0.12166666666666666,1,32.87671232876713,49.31506849315069
30482,119.20529801324503,99.33774834437087,99.33774834437087,69.5364238410596,12,11,12,10,10,7,6.04,0.10066666666666667,2,19.86754966887416,29.801324503311264
30581,118.89035667107001,118.89035667107001,79.26023778071334,47.556142668428,15,11,15,15,10,6,7.57,0.12616666666666668,1,39.63011889035667,71.334214002642
28350,118.42105263157893,98.68421052631578,118.42105263157893,92.10526315789473,19,19,18,15,18,14,9.120000000000001,0.15200000000000002,3,0.0,6.578947368421055
30467,113.56466876971609,113.56466876971609,113.56466876971609,75.70977917981074,6,6,6,6,6,4,3.17,0.05283333333333333,1,0.0,37.854889589905355
28352,113.3093525179856,107.91366906474819,86.33093525179855,70.14388489208632,22,17,21,20,16,13,11.120000000000001,0.18533333333333335,2,26.97841726618705,37.76978417266187
28423,112.49999999999999,112.49999999999999,112.49999999999999,112.49999999999999,6,6,6,6,6,6,3.2,0.05333333333333334,1,0.0,0.0
28451,112.09439528023599,106.19469026548671,106.19469026548671,88.49557522123894,19,19,19,18,18,15,10.17,0.1695,3,5.899705014749273,17.699115044247776
28382,110.42944785276073,103.06748466257669,80.98159509202453,66.25766871165644,15,11,15,14,11,9,8.15,0.13583333333333333,1,29.447852760736197,36.80981595092025
28375,109.66057441253263,109.66057441253263,93.99477806788511,78.32898172323759,7,7,7,7,6,5,3.83,0.06383333333333334,1,15.665796344647518,31.331592689295036
28425,108.98379970544919,108.98379970544919,82.4742268041237,44.18262150220913,37,29,37,37,28,15,20.37,0.3395,3,26.509572901325484,64.80117820324006
30665,105.77864838393731,94.02546523016649,94.02546523016649,58.76591576885406,21,17,18,16,16,10,10.21,0.1701666666666667,2,11.75318315377082,35.25954946131243
30575,105.61949898442788,93.43263371699389,85.30805687203791,77.18348002708191,28,22,26,23,21,19,14.770000000000001,0.2461666666666667,3,20.31144211238997,16.249153689911978
28493,105.17090271691498,94.65381244522348,89.39526730937773,78.87817703768623,21,17,20,18,17,15,11.41,0.19016666666666668,2,15.775635407537251,15.775635407537251
31361,104.47761194029852,104.47761194029852,78.35820895522389,55.97014925373135,28,24,28,28,21,15,16.08,0.26799999999999996,3,26.11940298507463,48.507462686567166
28428,102.94117647058823,102.94117647058823,102.94117647058823,73.52941176470588,7,7,7,7,7,5,4.08,0.068,2,0.0,29.411764705882348
30684,100.58675607711652,95.55741827326068,80.4694048616932,65.38139145012573,21,17,20,19,16,13,11.93,0.19883333333333333,2,20.117351215423312,30.176026823134947
31293,99.0566037735849,77.83018867924528,70.75471698113208,56.60377358490566,15,11,14,11,10,8,8.48,0.14133333333333334,1,28.30188679245282,21.22641509433962
31284,97.82608695652175,97.82608695652175,97.82608695652175,65.21739130434783,12,12,12,12,12,8,7.359999999999999,0.12266666666666666,2,0.0,32.60869565217392
30496,96.41532756489494,96.41532756489494,88.99876390605687,81.5822002472188,13,13,13,13,12,11,8.09,0.13483333333333333,2,7.416563658838072,14.833127317676144
30472,95.59939301972686,91.04704097116844,77.38998482549317,63.73292867981791,22,17,21,20,17,14,13.18,0.21966666666666665,2,18.20940819423369,27.314112291350533
28345,95.33898305084746,95.33898305084746,69.91525423728814,63.55932203389831,15,11,15,15,11,10,9.44,0.15733333333333333,1,25.423728813559322,31.77966101694915
28473,94.91525423728812,94.91525423728812,94.91525423728812,67.79661016949152,14,14,14,14,14,10,8.850000000000001,0.14750000000000002,2,0.0,27.11864406779661
28498,93.75,93.75,125.0,93.75,6,4,3,3,4,3,1.92,0.032,1,-31.25,0.0
30589,93.69771332961517,90.35136642498605,80.31232571109872,50.1952035694367,28,24,28,27,24,15,17.93,0.29883333333333334,3,13.385387618516447,40.156162855549354
28344,93.48441926345609,93.48441926345609,63.73937677053824,38.243626062322946,22,18,22,22,15,9,14.120000000000001,0.23533333333333334,2,29.745042492917847,55.240793201133144
28514,93.02325581395348,93.02325581395348,93.02325581395348,93.02325581395348,6,6,6,6,6,6,3.87,0.0645,1,0.0,0.0
28448,92.27220299884661,85.35178777393311,71.51095732410613,64.59054209919263,42,32,40,37,31,28,26.009999999999998,0.43349999999999994,4,20.76124567474048,20.76124567474048
