audio_file_name,Submitted Audio Link,Question,Human Transcription,Come,on.,We,can,do,it,together.,Notes
grade1_profile28392_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1FO4NsnuWGlBu88SpgZRd2kQgzcEoWSlF/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,1,2,2,2,Parent speaking
grade1_profile28512_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1oIVafMwiOS4qYJ7UnZSewmEE7RjZSlgc/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,Parent speaking
grade1_profile30490_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1FjNAOdqExSx2XwbH16Ah6nUBMazq_raO/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,
grade1_profile28516_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1gICTrjlzr8QEjp0nFDvedCkvu5mD7zh3/view?usp=drivesdk,Come on. We can do it  together.,Come only can do it together.,2,0,0,2,2,2,2,
grade1_profile28399_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/19IIai2ik-zWasAflauCZb9oteGjEDaQN/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,Parent/Sibling speaking
grade1_profile28417_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1T02mzDIDD5vp7c6G79lTgx7ZofsNNRAb/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it it the gather.,2,2,2,2,2,2,0,Parent helping in background
grade1_profile28402_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1y-GZQTfXZYciE_C6XDDE1uPUqgsiLgb6/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it to,2,2,2,2,2,2,0,
grade1_profile28457_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1KUoVTYLcp7M4ojcCn1QZ0HcZY7ozLZi0/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,
grade1_profile31204_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1n8T9CS8_Mv2tLs2_nmXl31PqVXgxOBsv/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,1,2,2,1,"Parent assisting child by saying ""chalo"" to start speaking"
grade1_profile28428_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1WqRKKOOHbBIXcgJ_R3ZOtH-wWabeYGGP/view?usp=drivesdk,Come on. We can do it  together.,Come on. We can do it together.,2,2,2,2,2,2,2,
