audio_file_name,Submitted Audio Link,Question,Human Transcription,It's,locked.,I,can,open,it.,Notes
grade1_profile28448_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1EAPV1ysIJr5xaijFnM6pbHnZDvUXVzyT/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile30575_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1OLWS05fxeOl2Vac8q9RslDtMhNpy36Er/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,1,2,2,2,2,
grade1_profile30496_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1N-WLjE8RwfSjmqX3HKSdB6poZh3TauMv/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28498_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1jywOhl4B-QSaIXfY6rpvVRJLXZZ0swr8/view?usp=drivesdk,It's locked. I can open it. ,It's looked. I can,2,0,2,2,0,0,
grade1_profile31207_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Vw54qxp2XPhb-kFOVr6bYowyiEVtToaR/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28514_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1PeQUzbzxS-GZ35ClselmGK-9QfDbmlTw/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile31361_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1xg0raxwFeKWFz3kUME8YOkN8TCJiL9vo/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28376_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1XPoOMcxYhQyqSzfqPPvhf7xvdOGeni9Y/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I an open it. ,2,1,2,1,2,2,
grade1_profile30665_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1a50Xf-YGzQa6SRCLpGYyyNcEr0VKPmv9/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,1,2,2,2,2,Parent helping in background
grade1_profile28451_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1lj3fpef_m-aUhbxDXi0mNLxWpjIJ9Jmo/view?usp=drivesdk,It's locked. I can open it. ,It is lock. I can open it. ,2,1,2,2,2,2,
grade1_profile28381_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1UGIkoADDWp9ZEfi9HHBa6-JDm8VkUseu/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile30482_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/19e6N8XP7yqS6SS1zHrte76Fr1kdYkFQ4/view?usp=drivesdk,It's locked. I can open it. ,It's look. I can open it. ,2,1,2,2,2,2,
grade1_profile28448_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1TrhyTW_Zl8PEB8BK5ZWaLiK6YcGKal1N/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,1,2,2,2,2,
grade1_profile31284_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1TNjWFFK0sRktQMZTpV3nDgWyiUpcytdr/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28355_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Z3WBCAxCONhNBQNX-vHEqQnWp9kcln3j/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile30941_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1DgpYdI-KRT8rd5LUwxdcerzIF9_6bUGm/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I open it. ,2,1,2,0,2,2,
grade1_profile31284_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/19DqLJFNDoSPTOLrBg8wLf2z6YAk7qxog/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile30630_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1dpCwPCU6DIrGDJi_O5zaUZJei6_flcGy/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28359_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1GLY04_qAo9OnXLWhmb2KfbdNWpPMAPYu/view?usp=drivesdk,It's locked. I can open it. ,It's lock locked. I can open it. ,2,2,2,2,2,2,
grade1_profile31206_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/14X8AK0kDgYIkGHh0pLiAdGQTF0uwOw4w/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28363_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/13122YQVnHH9nphlsvOOG-0BXTAIcIN8b/view?usp=drivesdk,It's locked. I can open it. ,It is locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28403_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1cRK5uPcEUQeH7QHmQtheOxBfLzVdUr6W/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28457_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1FN-TEOL5AAgK6fDdhrrERjrZ1qOwVDSg/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile30467_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1bigm6845iZY6iGBBsxyK7NyOPQoNnsbA/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile30482_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1gvrL058RUiu13T9smsyocuG0uwy2TN1T/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,1,2,2,2,2,
grade1_profile28391_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1vuu3OIBGEpthIyj8QkJMWWdFOAh-JLwW/view?usp=drivesdk,It's locked. I can open it. ,I can open it,0,0,2,2,2,2,
grade1_profile28350_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1AIgyzLGlCTQoYELcNb5HogelSx5rxIto/view?usp=drivesdk,It's locked. I can open it. ,is locked. I can open it. ,1,2,2,2,2,2,
