audio_file_name,Submitted Audio Link,Question,Human Transcription,This,is,Zara.,She,loves,to,draw.,This,is,Faiz.,He,loves,to,build,things.,Notes
grade1_profile28376_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/19edvKFbZF2QYSB8gHw3QsQvINy6T-sZu/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. She this is a Faiz.  She he loves a draw to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Parent helping
grade1_profile28425_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1AbpPGcPHM03peprotKbNvx7SUnvsf_3C/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile30626_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1VqQLFOetNIqs5uCxYxxC-uQrQbWytCf9/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He love to build things. ,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,
grade1_profile28402_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/14gPJCHz5RX7kS6M0U5pL23T28VeRjJ_5/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faizan. He love to building things. ,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,
grade1_profile28450_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1_oz00uApHYfDOpRmUKxY0dUw1bar_4mv/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Parent Speaking
grade1_profile28475_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1gUwM4792sxyD7Sv_wZ9ONiC0N2BhVCz5/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He love to build things. ,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,
grade1_profile31206_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1Y2XMAQguNYQxSv_eTTKCjATC5IYXp0RI/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to bulid things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,Parent Speaking
grade1_profile30581_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1s36WOQEl2cNt1UIUexbcsGE1zI63RIiH/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile30575_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1VaImAMIUARS34hGNYiGVGclHazMmHZCU/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He love to build things. ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,
grade1_profile31203_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1f6Whu2WzTtlJwNGTTkulRjvIo1_aPJwA/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to building build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile30665_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1KRmCUCGeLm95eLoYeb4JTx2wWMgx-OfH/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build thing.,2,2,2,2,0,2,2,2,2,0,2,0,2,2,1,Sibling helping in reading
grade1_profile28432_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1_sSjJMh__RfRZwRHiv9zGi8tFPLyFUuV/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28417_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1sSlUGns3gk2Dm8ogn5Eh39iZNmNqflE6/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He loves to build things. ,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,Parent helping
grade1_profile28363_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1wxhf_dJ79arYR6FA2xH2npWP2YlRxqnH/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile30822_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1yFOlVo8xj2h6vcgYvuW5Ylu9yCu6rxJ3/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Parent Speaking
grade1_profile30684_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1WLb1nGNiB_UfcQfI7hB1XeFv1eXL3cPG/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,
grade1_profile30941_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1TG0ddADhRMAOd1DyVzMdGytUZn66fA2T/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to a. This is . He love to bill thin. ,2,2,2,2,1,2,0,2,2,0,2,1,,0,1,
grade1_profile28475_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1TSEe00H_1lsX944TiMhNEjJPzG7wNhb9/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This his is Zara. She loves to . This is Faiz. He loves to build things. ,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,Parent helping
grade1_profile30569_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1HgYdzhCrhzoZvoG2YHYasVK5fxu4QHtC/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,
grade1_profile28465_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1Gp74ahB-QLYWTcHP3-T9uOAQdW9kECSn/view?usp=drivesdk,This is Zara. She loves to draw. It is Faiz. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,
grade1_profile28388_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1X8X3XMKqfND-R50nOv1128m1Tc6TaYLx/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,
grade1_profile28344_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1-ObMjfSah_6H-o48rMAatv994mI70auV/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile31206_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1LXVq5gv82jQipBMdWbaeay-BiQ0ro7aO/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,1,2,1,2,2,2,2,1,2,2,1,
grade1_profile30633_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1FxIVY6UjtoAfpndADt5ez8a-PNyBsmKc/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is building build things. ,2,2,2,2,2,2,2,2,0,0,0,0,0,2,1,Sibling helping in background
grade1_profile30589_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1XQEH3lMDqdJr9bVJcL_-n7jUJ2PeVSMz/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile30840_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1UfZcxI6iC1i2VOzqv0tH6Q4UMZIFeqJN/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He love to build things. ,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,
grade1_profile28518_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/13D4a6V_JQbZ84Ly-itMr123ZEydaViTJ/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves draw. This is Faiz. He loves to build things. ,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,
grade1_profile28485_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1NUgipYYINtkeiXFDPns-4K7dt3TTVnik/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Raza. He loves to buid things. ,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,
grade1_profile28425_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1NTE8UFNlLS3MtQks8SxVdcQpwUZ64ben/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile30485_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1ePRzkwWu_WKMikWV8N8zTJZ9L2Q3WGJX/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,1,2,0,2,2,0,2,2,2,2,2,
grade1_profile28509_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1Rv-bd4JNNg9vXI_FNUhU87YzEOF2Q-a4/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to building things. ,2,2,2,2,1,2,0,2,2,0,2,1,2,2,2,Mix wording (Eng/Urdu)
